FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
904361|Canada los Angeles|Stream|NM|35|Rio Arriba|039|360053N|1055054W|36.0147473|-105.8483524|360140N|1055032W|36.0277778|-105.8422222|2152|7060|Truchas|11/13/1980|
904362|Canada los Apaches|Stream|NM|35|Rio Arriba|039|363026N|1060022W|36.5072407|-106.0061293|363237N|1060545W|36.5436111|-106.0958333|2211|7254|Las Tablas|11/13/1980|
904363|Canada los Cedros|Stream|NM|35|Rio Arriba|039|360306N|1055357W|36.051691|-105.8991866|360244N|1055257W|36.0455556|-105.8825|2204|7231|Chimayo|11/13/1980|01/27/2006
904364|Canada de los Corralitos|Stream|NM|35|Rio Arriba|039|360303N|1055059W|36.0508581|-105.8497412|360257N|1054922W|36.0491667|-105.8227778|2279|7477|Truchas|11/13/1980|07/14/2011
904365|Canada los Pino Reales|Stream|NM|35|Rio Arriba|039|361100N|1055017W|36.183357|-105.8380734|360913N|1055046W|36.1536111|-105.8461111|1887|6191|Trampas|11/13/1980|
904366|Canada de los Ramones|Stream|NM|35|Santa Fe|049|360006N|1055806W|36.0016906|-105.9683549|360202N|1055727W|36.0338889|-105.9575|1808|5932|Chimayo|08/31/1992|
904367|Canada los Ranchos|Stream|NM|35|Rio Arriba|039|365738N|1060403W|36.9605696|-106.0675218|365404N|1061051W|36.9011248|-106.1808581|2504|8215|Los Pinos|11/13/1980|01/27/2006
904368|Canada los Rincones|Stream|NM|35|Guadalupe|019|350712N|1051554W|35.1200521|-105.265005|351015N|1051718W|35.1708838|-105.2883395|1695|5561|Potrillo Hill|11/13/1980|01/27/2006
904369|Canada de los Tanos|Stream|NM|35|Rio Arriba|039|360103N|1055034W|36.0175251|-105.8427967|360227N|1054820W|36.0408333|-105.8055556|2160|7087|Truchas|11/13/1980|07/14/2011
904370|Canada de Apodaca|Stream|NM|35|Rio Arriba|039|361148N|1055201W|36.1966901|-105.8669629|361319N|1055001W|36.2219444|-105.8336111|1852|6076|Trampas|11/13/1980|
904371|Canada de Buena Vista|Stream|NM|35|Rio Arriba|039|361344N|1060255W|36.2289106|-106.0486336|361352N|1055939W|36.2311335|-105.994188|1840|6037|Lyden|11/13/1980|
904372|Canada de Chacon|Stream|NM|35|Rio Arriba|039|363316N|1061658W|36.5544606|-106.2828041|363331N|1061827W|36.5586111|-106.3075|2848|9344|Canjilon Mountain|11/13/1980|
904373|Canada de Comanche|Stream|NM|35|Rio Arriba|039|360240N|1061856W|36.0444655|-106.3155838|360358N|1061844W|36.0661111|-106.3122222|2339|7674|Vallecitos|11/13/1980|
904374|Canada de Don Samuel|Stream|NM|35|Taos|055|360502N|1052832W|36.0839181|-105.4755694|360357N|1052916W|36.0658333|-105.4877778|2752|9029|Holman|11/13/1980|
904375|Canada de Escabosa|Arroyo|NM|35|Bernalillo|001|345736N|1061411W|34.9600497|-106.2364145|345414N|1061711W|34.9039407|-106.2864129|2116|6942|Chilili|11/13/1980|
904376|Canada de Horno|Stream|NM|35|Rio Arriba|039|361135N|1061340W|36.1930753|-106.2278036|361007N|1061543W|36.1686308|-106.2619711|1788|5866|Medanales|11/13/1980|
904377|Canada de Jacinto|Stream|NM|35|Rio Arriba|039|360754N|1055316W|36.1316905|-105.8877971|360709N|1055007W|36.119191|-105.835296|2075|6808|Velarde|11/13/1980|
904378|Canada de Lorenzo|Stream|NM|35|Rio Arriba|039|361028N|1055150W|36.174468|-105.8639074|360846N|1055112W|36.1461111|-105.8533333|2019|6624|Trampas|11/13/1980|
904379|Canada de Ojo del Agua|Stream|NM|35|Taos|055|360720N|1053948W|36.1222483|-105.6633487|360431N|1053944W|36.0752778|-105.6622222|2562|8405|El Valle|11/13/1980|
904380|Canada de Ojo Sarco|Stream|NM|35|Rio Arriba|039|361045N|1054951W|36.1791905|-105.8308511|360250N|1054220W|36.0472484|-105.705572|1902|6240|Trampas|11/13/1980|
904381|Canada de Piedra|Stream|NM|35|Rio Arriba|039|361102N|1060413W|36.1839107|-106.0703007|361217N|1060503W|36.2047222|-106.0841667|1803|5915|Lyden|11/13/1980|
904382|Canada de Piedra Lumbre|Stream|NM|35|Rio Arriba|039|361207N|1055148W|36.2019678|-105.8633517|361340N|1054447W|36.2278017|-105.7464043|1876|6155|Trampas|11/13/1980|
904383|Canada de Quirino|Arroyo|NM|35|Sierra|051|332519N|1072838W|33.4220134|-107.4772588|332655N|1073615W|33.4486796|-107.6042048|1639|5377|Monticello|11/13/1980|
904384|Canada de Tio Alfonso|Stream|NM|35|Rio Arriba|039|361051N|1061149W|36.1808535|-106.1969697|361245N|1061007W|36.2125|-106.1686111|1776|5827|Medanales|11/13/1980|
904385|Canada de Tio Pula|Stream|NM|35|Rio Arriba|039|361515N|1060344W|36.254188|-106.0622449|361645N|1060533W|36.2791667|-106.0925|1853|6079|Ojo Caliente|11/13/1980|
904386|Canada del los Tanques|Stream|NM|35|Rio Arriba|039|362947N|1060037W|36.4964074|-106.0102961|362955N|1060344W|36.4986111|-106.0622222|2199|7214|La Madera|11/13/1980|01/27/2006
904387|Canada del Abrevadero|Stream|NM|35|Rio Arriba|039|362848N|1060003W|36.4800189|-106.0008517|362959N|1060512W|36.4997401|-106.0866872|2189|7182|La Madera|11/13/1980|
904388|Canada del Agua|Stream|NM|35|Taos|055|361023N|1054759W|36.1730797|-105.7997393|360827N|1054511W|36.1408333|-105.7530556|2064|6772|Trampas|11/13/1980|
904389|Canada del Agua|Stream|NM|35|Rio Arriba|039|363316N|1060137W|36.5544624|-106.026963|363625N|1060134W|36.6069444|-106.0261111|2286|7500|Las Tablas|11/13/1980|
904390|Canada del Agua|Stream|NM|35|Rio Arriba|039|362834N|1060632W|36.4761291|-106.1089103|362819N|1060845W|36.4719621|-106.1458558|2216|7270|La Madera|11/13/1980|
904391|Canada del Alamito|Stream|NM|35|San Miguel|047|353135N|1051250W|35.526433|-105.2138959|353328N|1051738W|35.5578208|-105.2938984|1886|6188|Las Vegas|11/13/1980|
904392|Canada del Apache|Stream|NM|35|Rio Arriba|039|360453N|1055511W|36.0814128|-105.9197425|360231N|1055336W|36.0419444|-105.8933333|2055|6742|Chimayo|11/13/1980|
904393|Canada del Apache del Ojito|Stream|NM|35|Rio Arriba|039|360610N|1055355W|36.1028017|-105.8986308|360523N|1055145W|36.0897465|-105.8625189|2042|6699|Chimayo|11/13/1980|
904394|Canada del Arrastradero|Stream|NM|35|Rio Arriba|039|360745N|1054547W|36.1291915|-105.7630721|360624N|1054505W|36.1066918|-105.7514053|2264|7428|Trampas|11/13/1980|
904395|Canada de Bano|Stream|NM|35|Rio Arriba|039|363228N|1062843W|36.5411273|-106.4786436|363406N|1062154W|36.5683493|-106.3650289|2336|7664|Cebolla|11/13/1980|
904396|Canada de Barro|Stream|NM|35|Taos|055|361246N|1054817W|36.2128015|-105.8047392|361406N|1054534W|36.235|-105.7594444|2165|7103|Trampas|11/13/1980|
904397|Canada de Borracho|Stream|NM|35|Rio Arriba|039|362943N|1060646W|36.4952955|-106.1127991|363244N|1061404W|36.545572|-106.2344693|2245|7365|La Madera|11/13/1980|
904398|Canada del Borrego|Stream|NM|35|Rio Arriba|039|360051N|1054630W|36.0141925|-105.7750175|360002N|1054613W|36.0005556|-105.7702778|2444|8018|Truchas|11/13/1980|
904399|Canada de Cabo Lucero|Stream|NM|35|San Miguel|047|353114N|1051848W|35.5205986|-105.3133431|353355N|1051902W|35.5652778|-105.3172222|1974|6476|Ojitos Frios|11/13/1980|
